"x, y"
"0.37196471359556094, 0"
"0.3907284768211921, 8.139570369276889"
"0.413907284768212, 56.97677967160247"
"0.4337748344370862, 75.58135986328125"
"0.4503311258278147, 122.09302325581395"
"0.48785875333066037, 245.34887269485827"
"0.5099337748344372, 258.13953488372096"
"0.5220751225553601, 304.65119827625364"
"0.5496688741721856, 337.2093200683594"
"0.5883002881182742, 416.2791052529978"
"0.6015453212308569, 422.09302325581393"
"0.6324503311258279, 463.95348837209303"
"0.6479029371248967, 469.7674596032431"
"0.6600441837942365, 487.2093200683594"
"0.6688741721854305, 493.0232912995094"
"0.675496688741722, 512.7906976744187"
"0.6997792831319848, 524.4186401367188"
"0.7218543046357617, 581.3953665799872"
"0.730684394078539, 610.4651162790698"
"0.751655629139073, 612.7907154171966"
"0.7626931904167529, 630.2325758823129"
"0.7748344370860928, 648.8372359164925"
"0.7880794701986755, 655.8139801025391"
"0.7958057731982099, 733.7209657181141"
"0.8156733228670842, 737.2093378111374"
